k,coherence,lda_score,nmf_score,avg_score
3,u_mass,-2.945600244891478,-2.8065034697192073,-2.8760518573053426
4,u_mass,-2.9224864052796007,-2.865814911974452,-2.8941506586270265
5,u_mass,-2.9772239255801587,-2.9228411773463208,-2.9500325514632397
6,u_mass,-2.816165648831006,-2.927740016559324,-2.871952832695165
7,u_mass,-3.022200733446284,-2.9845634928732316,-3.003382113159758
8,u_mass,-2.8294664653383528,-2.9998861246440054,-2.914676294991179
9,u_mass,-2.5727323142973173,-2.964006583878829,-2.7683694490880733
10,u_mass,-2.5042844251065173,-2.907007174264661,-2.7056457996855894
11,u_mass,-2.376227584127068,-2.8116619234990767,-2.5939447538130724
12,u_mass,-2.460397536124942,-2.700513374292355,-2.5804554552086483
